Url;Size;YardSize;Price;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787802997047&slink=7yckxq&f1=1;34;0;56000;град София, Надежда 1;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164448251890995&slink=7yckxq&f1=1;34;0;41000;град София, Студентски град;2;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162885203493239&slink=7yckxq&f1=1;34;0;46900;град София, Студентски град;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164266728506261&slink=7yckxq&f1=1;34;0;81999;град София, Студентски град;1;7;1-СТАЕН;Тухла;2017
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164880517328131&slink=7yckxq&f1=1;34;0;82000;град София, Студентски град;1;7;1-СТАЕН;Тухла;2017
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164562071893430&slink=7yckxq&f1=1;34;0;42900;град София, Център;2;3;2-СТАЕН;Гредоред;1914
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163334107639500&slink=7ycky2&f1=1;35;0;71000;град София, Студентски град;1;7;1-СТАЕН;Тухла;2015
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164811064642428&slink=7ycky2&f1=1;35;0;79000;град София, Студентски град;2;7;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164657161041305&slink=7ycky2&f1=1;35;0;46450;град София, Бъкстон;11;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164638096966649&slink=7ycky2&f1=1;35;0;46450;град София, Бъкстон;12;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a161969177243215&slink=7ycky2&f1=1;35;0;0;град София, Бъкстон;4;13;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a149321007465726&slink=7ycky2&f1=1;35;0;46800;град София, Витоша;1;5;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164183119371917&slink=7ycky2&f1=1;35;0;62000;град София, Дружба 2;2;9;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164724547871231&slink=7ycky2&f1=1;35;0;68125;град София, Дървеница;6;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160804416246261&slink=7ycky2&f1=1;35;0;57990;град София, Люлин 5;5;14;1-СТАЕН;ЕПК;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164555066081347&slink=7ycky2&f1=1;35;0;40000;град София, Люлин 6;1;8;1-СТАЕН;Панел;1987
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164864235057154&slink=7ycky2&f1=1;35;0;42499;град София, Люлин 6;1;8;1-СТАЕН;Панел;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164370856924091&slink=7ycky2&f1=1;35;0;50000;град София, Люлин 7;12;13;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164862377704929&slink=7ycky2&f1=1;35;0;80000;град София, Мусагеница;3;14;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164208127934330&slink=7ycky2&f1=1;35;0;63240;град София, Студентски град;2;9;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a161574453048042&slink=7ycky2&f1=1;35;0;69000;град София, Студентски град;4;6;1-СТАЕН;Тухла;2017
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165035837584457&slink=7ycky2&f1=1;35;0;77484;град София, Студентски град;5;8;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164802432712222&slink=7ycky2&f1=1;35;0;75000;град София, Сухата река;6;14;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164811846641083&slink=7ycky2&f1=1;35;0;103000;град София, Център;1;8;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163490001037251&slink=7ycky2&f1=1;35;0;120000;град София, Гео Милев;8;8;2-СТАЕН;Тухла;1986
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157216729013694&slink=7ycky2&f1=1;35;0;0;град София, Люлин 6;1;8;2-СТАЕН;Панел;1985
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165037544474744&slink=7ycky2&f1=1;35;0;83000;град София, Люлин 6;1;8;2-СТАЕН;Панел;1985
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164862386681221&slink=7ycky2&f1=1;35;0;80000;град София, Мусагеница;3;14;2-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161156292177977&slink=7ycky2&f1=1;35;0;89000;град София, Център;1;4;2-СТАЕН;Тухла;1951
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164735390479266&slink=7yckyt&f1=1;36;0;59700;град София, Малинова долина;5;5;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163655552756425&slink=7yckyt&f1=1;36;0;68125;град София, Дървеница;6;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164873993635650&slink=7yckyt&f1=1;36;0;68125;град София, Дървеница;6;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164984602929348&slink=7yckyt&f1=1;36;0;59999;град София, Люлин 5;2;17;1-СТАЕН;ЕПК;1989
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163709089290614&slink=7yckyt&f1=1;36;0;45000;град София, Люлин 8;1;6;1-СТАЕН;Тухла;2007
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165036850159641&slink=7yckyt&f1=1;36;0;46000;град София, Люлин 9;1;7;1-СТАЕН;Тухла;2007
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164216146436450&slink=7yckyt&f1=1;36;0;43200;град София, Малинова долина;2;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164491416840862&slink=7yckyt&f1=1;36;0;43284;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164361813008345&slink=7yckyt&f1=1;36;0;43284;град София, Малинова долина;2;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164207233178551&slink=7yckyt&f1=1;36;0;43284;град София, Малинова долина;2;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163248539081189&slink=7yckyt&f1=1;36;0;43299;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2023
